trajectory_id,actions,reward,turn_index,chosen_action,q_chosen,q_baseline,credit,oracle_sign
tau-00,0000,0,0,0,0.125,0.375,-0.25,-1
tau-00,0000,0,1,0,0.0,0.125,-0.125,-1
tau-00,0000,0,2,0,0.0,0.0,0.0,0
tau-00,0000,0,3,0,0.0,0.0,0.0,0
tau-01,0001,0,0,0,0.125,0.375,-0.25,-1
tau-01,0001,0,1,0,0.0,0.125,-0.125,-1
tau-01,0001,0,2,0,0.0,0.0,0.0,0
tau-01,0001,0,3,1,0.0,0.0,0.0,0
tau-02,0010,0,0,0,0.125,0.375,-0.25,-1
tau-02,0010,0,1,0,0.0,0.125,-0.125,-1
tau-02,0010,0,2,1,0.0,0.0,0.0,0
tau-02,0010,0,3,0,0.0,0.0,0.0,0
tau-03,0011,0,0,0,0.125,0.375,-0.25,-1
tau-03,0011,0,1,0,0.0,0.125,-0.125,-1
tau-03,0011,0,2,1,0.0,0.0,0.0,0
tau-03,0011,0,3,1,0.0,0.0,0.0,0
tau-04,0100,0,0,0,0.125,0.375,-0.25,-1
tau-04,0100,0,1,1,0.25,0.125,0.125,1
tau-04,0100,0,2,0,0.0,0.25,-0.25,-1
tau-04,0100,0,3,0,0.0,0.0,0.0,0
tau-05,0101,0,0,0,0.125,0.375,-0.25,-1
tau-05,0101,0,1,1,0.25,0.125,0.125,1
tau-05,0101,0,2,0,0.0,0.25,-0.25,-1
tau-05,0101,0,3,1,0.0,0.0,0.0,0
tau-06,0110,0,0,0,0.125,0.375,-0.25,-1
tau-06,0110,0,1,1,0.25,0.125,0.125,1
tau-06,0110,0,2,1,0.5,0.25,0.25,1
tau-06,0110,0,3,0,0.0,0.5,-0.5,-1
tau-07,0111,1,0,0,0.125,0.375,-0.25,-1
tau-07,0111,1,1,1,0.25,0.125,0.125,1
tau-07,0111,1,2,1,0.5,0.25,0.25,1
tau-07,0111,1,3,1,1.0,0.5,0.5,1
tau-08,1000,0,0,1,0.625,0.375,0.25,1
tau-08,1000,0,1,0,0.5,0.625,-0.125,-1
tau-08,1000,0,2,0,0.0,0.5,-0.5,-1
tau-08,1000,0,3,0,0.0,0.0,0.0,0
tau-09,1001,0,0,1,0.625,0.375,0.25,1
tau-09,1001,0,1,0,0.5,0.625,-0.125,-1
tau-09,1001,0,2,0,0.0,0.5,-0.5,-1
tau-09,1001,0,3,1,0.0,0.0,0.0,0
tau-10,1010,1,0,1,0.625,0.375,0.25,1
tau-10,1010,1,1,0,0.5,0.625,-0.125,-1
tau-10,1010,1,2,1,1.0,0.5,0.5,1
tau-10,1010,1,3,0,1.0,1.0,0.0,0
tau-11,1011,1,0,1,0.625,0.375,0.25,1
tau-11,1011,1,1,0,0.5,0.625,-0.125,-1
tau-11,1011,1,2,1,1.0,0.5,0.5,1
tau-11,1011,1,3,1,1.0,1.0,0.0,0
tau-12,1100,0,0,1,0.625,0.375,0.25,1
tau-12,1100,0,1,1,0.75,0.625,0.125,1
tau-12,1100,0,2,0,0.5,0.75,-0.25,-1
tau-12,1100,0,3,0,0.0,0.5,-0.5,-1
tau-13,1101,1,0,1,0.625,0.375,0.25,1
tau-13,1101,1,1,1,0.75,0.625,0.125,1
tau-13,1101,1,2,0,0.5,0.75,-0.25,-1
tau-13,1101,1,3,1,1.0,0.5,0.5,1
tau-14,1110,1,0,1,0.625,0.375,0.25,1
tau-14,1110,1,1,1,0.75,0.625,0.125,1
tau-14,1110,1,2,1,1.0,0.75,0.25,1
tau-14,1110,1,3,0,1.0,1.0,0.0,0
tau-15,1111,1,0,1,0.625,0.375,0.25,1
tau-15,1111,1,1,1,0.75,0.625,0.125,1
tau-15,1111,1,2,1,1.0,0.75,0.25,1
tau-15,1111,1,3,1,1.0,1.0,0.0,0
