lineage,family,cell,resolution_label,mixed_group_count,collapsed_group_count,success_count,trajectory_count,strict_success_rate
RIST-C0-v3.1,gemma4,c00,low,0,4,0,128,0.0
RIST-C0-v3.1,gemma4,c01,low,0,4,0,128,0.0
RIST-C0-v3.1,gemma4,c02,low,0,4,0,128,0.0
RIST-C0-v3.1,gemma4,c03,low,0,4,0,128,0.0
RIST-C0-v3.1,gemma4,c04,low,0,4,0,128,0.0
RIST-C0-v3.1,gemma4,c05,low,0,4,0,128,0.0
RIST-C0-v3.1,gemma4,c06,low,0,4,0,128,0.0
RIST-C0-v3.1,gemma4,c07,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c00,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c01,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c02,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c03,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c04,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c05,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c06,low,0,4,0,128,0.0
RIST-C0-v3.1,qwen3,c07,low,0,4,0,128,0.0
RIST-C0-v4.0,gemma4,c00,low,0,4,128,128,1.0
RIST-C0-v4.0,gemma4,c01,ambiguous,1,3,43,128,0.3359375
RIST-C0-v4.0,gemma4,c02,low,0,4,0,128,0.0
RIST-C0-v4.0,gemma4,c03,low,0,4,0,128,0.0
RIST-C0-v4.0,gemma4,c04,low,0,4,0,128,0.0
RIST-C0-v4.0,gemma4,c05,low,0,4,0,128,0.0
RIST-C0-v4.0,gemma4,c06,low,0,4,0,128,0.0
RIST-C0-v4.0,gemma4,c07,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c00,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c01,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c02,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c03,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c04,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c05,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c06,low,0,4,0,128,0.0
RIST-C0-v4.0,qwen3,c07,low,0,4,0,128,0.0
