case_id,framework,workload,seed,natural_case,expected,predicted,exact_match
heldout-clean-reward-flow-0,OpenRLHF,reward_flow,0,True,,,True
heldout-mutation-reward-flow-0,OpenRLHF,reward_flow,0,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-0,OpenRLHF,group_advantage,0,True,,,True
heldout-mutation-group-advantage-0,OpenRLHF,group_advantage,0,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-0,OpenRLHF,treatment_identity,0,True,,,True
heldout-mutation-treatment-0,OpenRLHF,treatment_identity,0,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-0,OpenRLHF,failure_status,0,True,,,True
heldout-mutation-failure-status-0,OpenRLHF,failure_status,0,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-1,OpenRLHF,reward_flow,1,True,,,True
heldout-mutation-reward-flow-1,OpenRLHF,reward_flow,1,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-1,OpenRLHF,group_advantage,1,True,,,True
heldout-mutation-group-advantage-1,OpenRLHF,group_advantage,1,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-1,OpenRLHF,treatment_identity,1,True,,,True
heldout-mutation-treatment-1,OpenRLHF,treatment_identity,1,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-1,OpenRLHF,failure_status,1,True,,,True
heldout-mutation-failure-status-1,OpenRLHF,failure_status,1,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-2,OpenRLHF,reward_flow,2,True,,,True
heldout-mutation-reward-flow-2,OpenRLHF,reward_flow,2,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-2,OpenRLHF,group_advantage,2,True,,,True
heldout-mutation-group-advantage-2,OpenRLHF,group_advantage,2,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-2,OpenRLHF,treatment_identity,2,True,,,True
heldout-mutation-treatment-2,OpenRLHF,treatment_identity,2,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-2,OpenRLHF,failure_status,2,True,,,True
heldout-mutation-failure-status-2,OpenRLHF,failure_status,2,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-3,OpenRLHF,reward_flow,3,True,,,True
heldout-mutation-reward-flow-3,OpenRLHF,reward_flow,3,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-3,OpenRLHF,group_advantage,3,True,,,True
heldout-mutation-group-advantage-3,OpenRLHF,group_advantage,3,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-3,OpenRLHF,treatment_identity,3,True,,,True
heldout-mutation-treatment-3,OpenRLHF,treatment_identity,3,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-3,OpenRLHF,failure_status,3,True,,,True
heldout-mutation-failure-status-3,OpenRLHF,failure_status,3,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-4,OpenRLHF,reward_flow,4,True,,,True
heldout-mutation-reward-flow-4,OpenRLHF,reward_flow,4,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-4,OpenRLHF,group_advantage,4,True,,,True
heldout-mutation-group-advantage-4,OpenRLHF,group_advantage,4,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-4,OpenRLHF,treatment_identity,4,True,,,True
heldout-mutation-treatment-4,OpenRLHF,treatment_identity,4,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-4,OpenRLHF,failure_status,4,True,,,True
heldout-mutation-failure-status-4,OpenRLHF,failure_status,4,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-5,OpenRLHF,reward_flow,5,True,,,True
heldout-mutation-reward-flow-5,OpenRLHF,reward_flow,5,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-5,OpenRLHF,group_advantage,5,True,,,True
heldout-mutation-group-advantage-5,OpenRLHF,group_advantage,5,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-5,OpenRLHF,treatment_identity,5,True,,,True
heldout-mutation-treatment-5,OpenRLHF,treatment_identity,5,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-5,OpenRLHF,failure_status,5,True,,,True
heldout-mutation-failure-status-5,OpenRLHF,failure_status,5,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-6,OpenRLHF,reward_flow,6,True,,,True
heldout-mutation-reward-flow-6,OpenRLHF,reward_flow,6,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-6,OpenRLHF,group_advantage,6,True,,,True
heldout-mutation-group-advantage-6,OpenRLHF,group_advantage,6,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-6,OpenRLHF,treatment_identity,6,True,,,True
heldout-mutation-treatment-6,OpenRLHF,treatment_identity,6,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-6,OpenRLHF,failure_status,6,True,,,True
heldout-mutation-failure-status-6,OpenRLHF,failure_status,6,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-7,OpenRLHF,reward_flow,7,True,,,True
heldout-mutation-reward-flow-7,OpenRLHF,reward_flow,7,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-7,OpenRLHF,group_advantage,7,True,,,True
heldout-mutation-group-advantage-7,OpenRLHF,group_advantage,7,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-7,OpenRLHF,treatment_identity,7,True,,,True
heldout-mutation-treatment-7,OpenRLHF,treatment_identity,7,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-7,OpenRLHF,failure_status,7,True,,,True
heldout-mutation-failure-status-7,OpenRLHF,failure_status,7,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-8,OpenRLHF,reward_flow,8,True,,,True
heldout-mutation-reward-flow-8,OpenRLHF,reward_flow,8,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-8,OpenRLHF,group_advantage,8,True,,,True
heldout-mutation-group-advantage-8,OpenRLHF,group_advantage,8,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-8,OpenRLHF,treatment_identity,8,True,,,True
heldout-mutation-treatment-8,OpenRLHF,treatment_identity,8,False,ARCA-F5-TREATMENT,ARCA-F5-TREATMENT,True
heldout-clean-failure-status-8,OpenRLHF,failure_status,8,True,,,True
heldout-mutation-failure-status-8,OpenRLHF,failure_status,8,False,ARCA-F6-STATUS,ARCA-F6-STATUS,True
heldout-clean-reward-flow-9,OpenRLHF,reward_flow,9,True,,,True
heldout-mutation-reward-flow-9,OpenRLHF,reward_flow,9,False,ARCA-F2-REWARD-FLOW,ARCA-F2-REWARD-FLOW,True
heldout-clean-group-advantage-9,OpenRLHF,group_advantage,9,True,,,True
heldout-mutation-group-advantage-9,OpenRLHF,group_advantage,9,False,ARCA-F4-ADVANTAGE,ARCA-F4-ADVANTAGE,True
heldout-clean-treatment-9,OpenRLHF,treatment_identity,9,True,,,True
